Model,Best_Params,CV_R2_Mean,CV_R2_Std,Test_R2,Test_MSE,Test_RMSE,Test_MAE,Predictions,Generalization_Gap
SVR_RBF,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.01}",0.15099249995742986,0.5376049511301562,0.4857058467182249,16.016354239162354,4.002043757777063,3.1964170107369707,"[ 4.06941901  5.11335568  6.27009916 12.44306638  6.13355416  7.65307722
 12.33827315 12.06445681 -0.12672258 15.01682933  6.03180782  4.53151765
  6.54933848 13.88698618  6.64371926  8.71613082  3.50479257  1.46319387
  5.77074573  4.57614532  6.8059048   2.7433091  11.43407666 15.36410633
 14.94770006]",-0.33471334676079506
SVR_Linear,"{'C': 10, 'epsilon': 0.5}",0.19510368888895702,0.41703488164376534,0.48116728297648026,16.157696006633262,4.0196636683475475,3.1935247668949556,"[ 3.45621154  4.00686403  6.60757177 12.87562242  6.39524619  7.56719774
 12.54260069 10.91352204 -0.35814411 16.00054636  6.25580599  3.87323876
  6.76449358 13.75812804  7.00227017  9.2815573   3.11112553  0.25382604
  5.81409829  4.49663416  6.69443598  2.25505436 11.79667958 15.2035789
 15.44225188]",-0.28606359408752324
Ridge,{'alpha': 10},0.20781799856244265,0.38760550844286906,0.4708409873582292,16.479281635295084,4.059468146850654,3.324933729556193,"[ 4.05742044  5.2538422   6.93571765 13.26368108  6.53733048  7.99564552
 12.69877663 11.90668136 -0.51391832 14.7924444   7.54861865  4.24290154
  7.71206412 14.0041107   7.71966318  9.5121106   4.10919602  0.9688554
  6.39131274  4.97435028  6.99196141  2.93240155 11.39582744 15.98743515
 15.70836968]",-0.26302298879578656
ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.1}",0.20708432312235353,0.38412605675539524,0.46963586794798007,16.51681194601683,4.0640880829549975,3.330283063546438,"[ 4.0340453   5.21817815  6.94108077 13.26555112  6.54425914  7.97477667
 12.7068169  11.91726544 -0.51565146 14.80040937  7.54806268  4.22875333
  7.67516225 13.96879739  7.72072811  9.54163788  4.09653291  0.95679905
  6.39590487  4.98140158  6.98798974  2.90901819 11.38641896 15.94539655
 15.67128507]",-0.26255154482562654
Lasso,{'alpha': 0.1},0.2037556873544212,0.3854592199440099,0.4550023856010811,16.972533706656893,4.11977350186353,3.40682364537508,"[ 3.76564117  4.8415379   6.99915896 13.29755063  6.62261519  7.76477162
 12.79854431 12.0258936  -0.51613429 14.90848702  7.51658451  4.06999814
  7.24401933 13.5894415   7.72303052  9.86797698  3.96153906  0.83835482
  6.43987884  5.08040481  6.95493886  2.65198613 11.28588656 15.47331138
 15.26385288]",-0.2512466982466599
Gradient_Boosting,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.06476556924736573,0.5847876719128298,0.44815401746098105,17.185808326623146,4.145576959437992,3.3700003613624467,"[ 4.51211522  6.52474609  7.91549445 12.95289293  5.94777834  6.75895237
 13.48628159 10.96898966  1.71664668 16.39613464  5.2827856   3.53501217
  3.83986946 16.61775135  8.82094894  9.78103159  3.45151456  3.24370291
  4.37206708  3.29570996  6.72031622  3.98493376 11.43086488 14.95641998
 13.03725649]",-0.3833884482136153
Random_Forest,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.14567607946568586,0.4818808847526321,0.4370053606922698,17.533004255177058,4.18724303751013,3.2878688422172933,"[ 3.7621195   5.04025866  7.45069206 13.10750452  5.47955667  7.11231921
 14.85883032 11.39452021  1.4237561  17.07389012  5.09278438  4.28743563
  3.57507182 16.98490161  7.41892008  9.61447963  2.62555121  3.23755801
  3.75632243  2.30516338  6.78331205  3.37708658 12.05841742 15.58920342
 12.96043598]",-0.29132928122658397
SVR_Poly,"{'C': 1, 'degree': 3, 'epsilon': 0.5, 'gamma': 'auto'}",-0.29016052284898625,1.0278095113922634,0.36896308010061196,19.652004174274705,4.433058106349916,3.800516419146783,"[ 6.16453673  5.25125567  6.68179887 10.26689912  6.55758885  6.82946453
  7.92932683 12.36625691 -4.78587182 14.14729687  8.63372276  6.17623054
  6.45407992 10.27363729  6.68344586  6.7594044   6.16673017  3.30744739
  6.66202075  6.48015165  6.65218209  6.12831441  8.25655754 16.9049686
 13.20403721]",-0.6591236029495982
KNN,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.07810913415839224,0.7264610290351686,0.2611424964560425,23.009795918367345,4.796852709680311,3.5828571428571427,"[ 3.57142857  8.14285714  3.14285714 12.42857143  3.57142857 10.71428571
 13.28571429 17.          1.85714286 16.42857143  9.          3.57142857
  4.71428571 15.85714286  7.28571429  7.57142857  5.42857143  1.71428571
  2.42857143  6.28571429  7.28571429  4.42857143 12.         17.57142857
 16.57142857]",-0.18303336229765024
Neural_Network,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.008629570564032196,0.5674597240915565,0.25270486385676727,23.272564047827014,4.824164595847349,3.884872536699402,"[ 2.45801950e+00  7.58622855e+00  5.12203526e+00  1.27797095e+01
  4.17331782e+00  6.64143247e+00  1.27436069e+01  1.33919845e+01
  3.21687200e-01  1.83370249e+01  7.51557667e+00  3.20161742e+00
  8.19423615e+00  1.44811414e+01  6.93522851e+00  1.09003854e+01
 -1.38116724e-03  1.35398483e+00  4.38994630e+00  4.28045587e+00
  6.67984087e+00  2.48627807e+00  1.40329303e+01  2.19591822e+01
  1.67316661e+01]",-0.24407529329273508
Decision_Tree,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}",-0.047235664812119646,0.47993091979697744,0.14683000589261608,26.569761224489795,5.154586426134476,3.816857142857143,"[ 2.          2.75        5.25       13.          5.25        6.4
 18.25        7.5         0.57142857 19.25        1.75        2.
  4.5        18.25       11.8         9.5         2.4         6.4
  3.25        2.4         2.75        3.          5.25       19.25
 13.        ]",-0.19406567070473574
